==================================================================================
|  #  |   SYMBOL   |      TYPE      |                VALUE                | LINE |
| 153 |          " |         Quotes |                                   " |   23 |
| 154 |            |         String |                \nY = X + (X % 10)\n |   23 |
| 155 |          " |         Quotes |                                   " |   23 |
| 156 |          ) |        RBraket |                                   ) |   23 |
| 157 |          ; |      Semicolon |                                   ; |   23 |
| 158 |      PRINT |          Write |                               PRINT |   24 |
| 159 |          ( |        LBraket |                                   ( |   24 |
| 160 |            |     Identifier |                            _yYYYYYY |   24 |
| 161 |          ) |        RBraket |                                   ) |   24 |
| 162 |          ; |      Semicolon |                                   ; |   24 |
| 163 |        END |            End |                                 END |   25 |
| 164 |            |      EndOfFile |                                     |   -1 |
==================================================================================
