======================================================
|  #  |   SYMBOL   |     TYPE     |   VALUE   | LINE |
| 178 |      PRINT |        Write |     PRINT |   51 |
| 179 |          ( |      LBraket |         ( |   51 |
| 180 |            |       Number |         0 |   51 |
| 181 |          ) |      RBraket |         ) |   51 |
| 182 |          ; |    Semicolon |         ; |   51 |
| 183 |        END |          End |       END |   52 |
| 184 |      PRINT |        Write |     PRINT |   53 |
| 185 |          ( |      LBraket |         ( |   53 |
| 186 |            |       String |        \n |   53 |
| 187 |          ) |      RBraket |         ) |   53 |
| 188 |          ; |    Semicolon |         ; |   53 |
| 189 |         IF |           If |        IF |   54 |
| 190 |          ( |      LBraket |         ( |   54 |
| 191 |        NOT |          Not |       NOT |   54 |
| 192 |          ( |      LBraket |         ( |   54 |
| 193 |            |   Identifier |  _aAAAAAA |   54 |
| 194 |         <= |         Less |        <= |   54 |
| 195 |          ( |      LBraket |         ( |   54 |
| 196 |            |   Identifier |  _bBBBBBB |   54 |
| 197 |        ADD |     Addition |       ADD |   54 |
| 198 |            |   Identifier |  _cCCCCCC |   54 |
| 199 |          ) |      RBraket |         ) |   54 |
| 200 |          ) |      RBraket |         ) |   54 |
| 201 |          ) |      RBraket |         ) |   54 |
| 202 |       BODY |        Start |      BODY |   55 |
| 203 |      PRINT |        Write |     PRINT |   56 |
| 204 |          ( |      LBraket |         ( |   56 |
| 205 |            |       Number |        10 |   56 |
| 206 |          ) |      RBraket |         ) |   56 |
| 207 |          ; |    Semicolon |         ; |   56 |
| 208 |        END |          End |       END |   57 |
| 209 |       ELSE |         Else |      ELSE |   58 |
| 210 |       BODY |        Start |      BODY |   59 |
| 211 |      PRINT |        Write |     PRINT |   60 |
| 212 |          ( |      LBraket |         ( |   60 |
| 213 |            |       Number |         0 |   60 |
| 214 |          ) |      RBraket |         ) |   60 |
| 215 |          ; |    Semicolon |         ; |   60 |
| 216 |        END |          End |       END |   61 |
| 217 |        END |          End |       END |   62 |
| 218 |            |    EndOfFile |           |   -1 |
======================================================
