======================================================================
|  #  |   SYMBOL   |      TYPE      |          VALUE          | LINE |
| 160 |      PRINT |          Write |                   PRINT |   35 |
| 161 |          ( |        LBraket |                       ( |   35 |
| 162 |            |     Identifier |                _xXXXXXX |   35 |
| 163 |          ) |        RBraket |                       ) |   35 |
| 164 |          ; |      Semicolon |                       ; |   35 |
| 165 |      PRINT |          Write |                   PRINT |   37 |
| 166 |          ( |        LBraket |                       ( |   37 |
| 167 |          " |         Quotes |                       " |   37 |
| 168 |            |         String |  \nREPEAT UNTIL A * B:  |   37 |
| 169 |          " |         Quotes |                       " |   37 |
| 170 |          ) |        RBraket |                       ) |   37 |
| 171 |          ; |      Semicolon |                       ; |   37 |
| 172 |            |     Identifier |                _xXXXXXX |   38 |
| 173 |         <- |     Assignment |                      <- |   38 |
| 174 |            |         Number |                       0 |   38 |
| 175 |          ; |      Semicolon |                       ; |   38 |
| 176 |            |     Identifier |                _cCCCCC1 |   39 |
| 177 |         <- |     Assignment |                      <- |   39 |
| 178 |            |         Number |                       1 |   39 |
| 179 |          ; |      Semicolon |                       ; |   39 |
| 180 |     REPEAT |         Repeat |                  REPEAT |   40 |
| 181 |            |     Identifier |                _cCCCCC2 |   41 |
| 182 |         <- |     Assignment |                      <- |   41 |
| 183 |            |         Number |                       1 |   41 |
| 184 |          ; |      Semicolon |                       ; |   41 |
| 185 |     REPEAT |         Repeat |                  REPEAT |   42 |
| 186 |            |     Identifier |                _xXXXXXX |   43 |
| 187 |         <- |     Assignment |                      <- |   43 |
| 188 |            |     Identifier |                _xXXXXXX |   43 |
| 189 |        ADD |       Addition |                     ADD |   43 |
| 190 |            |         Number |                       1 |   43 |
| 191 |          ; |      Semicolon |                       ; |   43 |
| 192 |            |     Identifier |                _cCCCCC2 |   44 |
| 193 |         <- |     Assignment |                      <- |   44 |
| 194 |            |     Identifier |                _cCCCCC2 |   44 |
| 195 |        ADD |       Addition |                     ADD |   44 |
| 196 |            |         Number |                       1 |   44 |
| 197 |          ; |      Semicolon |                       ; |   44 |
| 198 |      UNTIL |          Until |                   UNTIL |   45 |
| 199 |          ( |        LBraket |                       ( |   45 |
| 200 |        NOT |            Not |                     NOT |   45 |
| 201 |          ( |        LBraket |                       ( |   45 |
| 202 |            |     Identifier |                _cCCCCC2 |   45 |
| 203 |         >= |         Greate |                      >= |   45 |
| 204 |            |     Identifier |                _bBBBBBB |   45 |
| 205 |          ) |        RBraket |                       ) |   45 |
| 206 |          ) |        RBraket |                       ) |   45 |
| 207 |            |     Identifier |                _cCCCCC1 |   46 |
| 208 |         <- |     Assignment |                      <- |   46 |
| 209 |            |     Identifier |                _cCCCCC1 |   46 |
| 210 |        ADD |       Addition |                     ADD |   46 |
| 211 |            |         Number |                       1 |   46 |
| 212 |          ; |      Semicolon |                       ; |   46 |
| 213 |      UNTIL |          Until |                   UNTIL |   47 |
| 214 |          ( |        LBraket |                       ( |   47 |
| 215 |        NOT |            Not |                     NOT |   47 |
| 216 |          ( |        LBraket |                       ( |   47 |
| 217 |            |     Identifier |                _cCCCCC1 |   47 |
| 218 |         >= |         Greate |                      >= |   47 |
| 219 |            |     Identifier |                 _aAAAAA |   47 |
| 220 |          ) |        RBraket |                       ) |   47 |
| 221 |          ) |        RBraket |                       ) |   47 |
| 222 |      PRINT |          Write |                   PRINT |   48 |
| 223 |          ( |        LBraket |                       ( |   48 |
| 224 |            |     Identifier |                _xXXXXXX |   48 |
| 225 |          ) |        RBraket |                       ) |   48 |
| 226 |          ; |      Semicolon |                       ; |   48 |
| 227 |        END |            End |                     END |   50 |
| 228 |            |      EndOfFile |                         |   -1 |
======================================================================
