======================================================================
|  #  |   SYMBOL   |      TYPE      |          VALUE          | LINE |
| 169 |         <- |     Assignment |                      <- |   43 |
| 170 |            |     Identifier |                _xXXXXXX |   43 |
| 171 |        ADD |       Addition |                     ADD |   43 |
| 172 |            |         Number |                       1 |   43 |
| 173 |          ; |      Semicolon |                       ; |   43 |
| 174 |            |     Identifier |                _cCCCCC2 |   44 |
| 175 |         <- |     Assignment |                      <- |   44 |
| 176 |            |     Identifier |                _cCCCCC2 |   44 |
| 177 |        ADD |       Addition |                     ADD |   44 |
| 178 |            |         Number |                       1 |   44 |
| 179 |          ; |      Semicolon |                       ; |   44 |
| 180 |      UNTIL |          Until |                   UNTIL |   45 |
| 181 |          ( |        LBraket |                       ( |   45 |
| 182 |        NOT |            Not |                     NOT |   45 |
| 183 |          ( |        LBraket |                       ( |   45 |
| 184 |            |     Identifier |                _cCCCCC2 |   45 |
| 185 |         >= |         Greate |                      >= |   45 |
| 186 |            |     Identifier |                _bBBBBBB |   45 |
| 187 |          ) |        RBraket |                       ) |   45 |
| 188 |          ) |        RBraket |                       ) |   45 |
| 189 |            |     Identifier |                _cCCCCC1 |   46 |
| 190 |         <- |     Assignment |                      <- |   46 |
| 191 |            |     Identifier |                _cCCCCC1 |   46 |
| 192 |        ADD |       Addition |                     ADD |   46 |
| 193 |            |         Number |                       1 |   46 |
| 194 |          ; |      Semicolon |                       ; |   46 |
| 195 |      UNTIL |          Until |                   UNTIL |   47 |
| 196 |          ( |        LBraket |                       ( |   47 |
| 197 |        NOT |            Not |                     NOT |   47 |
| 198 |          ( |        LBraket |                       ( |   47 |
| 199 |            |     Identifier |                _cCCCCC1 |   47 |
| 200 |         >= |         Greate |                      >= |   47 |
| 201 |            |     Identifier |                 _aAAAAA |   47 |
| 202 |          ) |        RBraket |                       ) |   47 |
| 203 |          ) |        RBraket |                       ) |   47 |
| 204 |      PRINT |          Write |                   PRINT |   48 |
| 205 |          ( |        LBraket |                       ( |   48 |
| 206 |            |     Identifier |                _xXXXXXX |   48 |
| 207 |          ) |        RBraket |                       ) |   48 |
| 208 |          ; |      Semicolon |                       ; |   48 |
| 209 |        END |            End |                     END |   50 |
| 210 |            |      EndOfFile |                         |   -1 |
======================================================================
