====================================================
|  #  |   SYMBOL   |    TYPE    |   VALUE   | LINE |
| 168 |            |     Number |         0 |   45 |
| 169 |          ) |    RBraket |         ) |   45 |
| 170 |         OR |         Or |        OR |   45 |
| 171 |          ( |    LBraket |         ( |   45 |
| 172 |            | Identifier |  _bBBBBBB |   45 |
| 173 |         <= |       Less |        <= |   45 |
| 174 |            |     Number |         0 |   45 |
| 175 |          ) |    RBraket |         ) |   45 |
| 176 |         OR |         Or |        OR |   45 |
| 177 |          ( |    LBraket |         ( |   45 |
| 178 |            | Identifier |  _cCCCCCC |   45 |
| 179 |         <= |       Less |        <= |   45 |
| 180 |            |     Number |         0 |   45 |
| 181 |          ) |    RBraket |         ) |   45 |
| 182 |          ) |    RBraket |         ) |   45 |
| 183 |       BODY |      Start |      BODY |   46 |
| 184 |      PRINT |      Write |     PRINT |   47 |
| 185 |          ( |    LBraket |         ( |   47 |
| 186 |          - |      Minus |         - |   47 |
| 187 |            |     Number |         1 |   47 |
| 188 |          ) |    RBraket |         ) |   47 |
| 189 |          ; |  Semicolon |         ; |   47 |
| 190 |        END |        End |       END |   48 |
| 191 |       ELSE |       Else |      ELSE |   49 |
| 192 |       BODY |      Start |      BODY |   50 |
| 193 |      PRINT |      Write |     PRINT |   51 |
| 194 |          ( |    LBraket |         ( |   51 |
| 195 |            |     Number |         0 |   51 |
| 196 |          ) |    RBraket |         ) |   51 |
| 197 |          ; |  Semicolon |         ; |   51 |
| 198 |        END |        End |       END |   52 |
| 199 |      PRINT |      Write |     PRINT |   53 |
| 200 |          ( |    LBraket |         ( |   53 |
| 201 |          " |     Quotes |         " |   53 |
| 202 |            |     String |        \n |   53 |
| 203 |          " |     Quotes |         " |   53 |
| 204 |          ) |    RBraket |         ) |   53 |
| 205 |          ; |  Semicolon |         ; |   53 |
| 206 |         IF |         If |        IF |   54 |
| 207 |          ( |    LBraket |         ( |   54 |
| 208 |        NOT |        Not |       NOT |   54 |
| 209 |          ( |    LBraket |         ( |   54 |
| 210 |            | Identifier |  _aAAAAAA |   54 |
| 211 |         <= |       Less |        <= |   54 |
| 212 |          ( |    LBraket |         ( |   54 |
| 213 |            | Identifier |  _bBBBBBB |   54 |
| 214 |        ADD |   Addition |       ADD |   54 |
| 215 |            | Identifier |  _cCCCCCC |   54 |
| 216 |          ) |    RBraket |         ) |   54 |
| 217 |          ) |    RBraket |         ) |   54 |
| 218 |          ) |    RBraket |         ) |   54 |
| 219 |       BODY |      Start |      BODY |   55 |
| 220 |      PRINT |      Write |     PRINT |   56 |
| 221 |          ( |    LBraket |         ( |   56 |
| 222 |            |     Number |        10 |   56 |
| 223 |          ) |    RBraket |         ) |   56 |
| 224 |          ; |  Semicolon |         ; |   56 |
| 225 |        END |        End |       END |   57 |
| 226 |       ELSE |       Else |      ELSE |   58 |
| 227 |       BODY |      Start |      BODY |   59 |
| 228 |      PRINT |      Write |     PRINT |   60 |
| 229 |          ( |    LBraket |         ( |   60 |
| 230 |            |     Number |         0 |   60 |
| 231 |          ) |    RBraket |         ) |   60 |
| 232 |          ; |  Semicolon |         ; |   60 |
| 233 |        END |        End |       END |   61 |
| 234 |        END |        End |       END |   62 |
| 235 |            |  EndOfFile |           |   -1 |
====================================================
